Name,2010,2015,2020,2022
Irwindale,1789,1780,1609,1575
Pico-Union,42027,41402,39896,37699
Glendora,51134,54387,52305,52772
Industry,22539,23036,12712,12870
Sylmar,72851,78725,81657,79799
Torrance,143255,146929,144020,145041
Alhambra,83181,84574,84339,82127
Pico Rivera,63713,65098,63206,62227
Rolling Hills Estates,10399,10410,9125,9686
Signal Hill,11018,11650,11672,11912
Hawthorne,88096,89550,90482,91505
North Hills,56958,61056,61179,58864
Hacienda Heights,51655,53676,54282,54385
Harbor Gateway,39331,40959,42250,40115
Lopez/Kagel Canyons,1389,1628,1496,1556
Citrus,12390,12963,12679,13123
Lake Balboa,26685,26743,27406,26628
Granada Hills,50574,54579,57493,56383
Palms,42703,43592,41523,39682
Santa Monica,86945,90457,89975,90499
Pacoima,72353,76691,77777,74640
Toluca Lake,8712,9019,9531,9702
Veterans Administration,1056,1124,1149,1405
Valley Village,23020,25106,26847,26099
Brentwood,33817,32793,34399,32871
Pomona,150332,153220,153170,151894
South Whittier,52744,54762,54345,53855
Pasadena,139392,142675,144692,140484
Winnetka,50544,55003,53220,52915
Palmdale,148426,158737,157615,170287
Porter Ranch,25915,26354,24423,24039
South El Monte,20036,19756,21649,20491
Tujunga Canyons,7447,8167,7365,7848
Commerce,13834,13562,12741,12322
San Fernando,23611,24286,24229,23932
Sherman Oaks,66252,71319,72013,70143
Bradbury,1142,1187,1132,1136
Panorama City,68181,71029,68364,66479
Northridge,59858,65638,68755,66438
Culver City,35570,36396,38892,40326
Lakewood,78756,80942,80420,82284
Compton,97332,100678,97752,96592
Vernon,511,393,297,378
San Dimas,35149,36297,36213,36870
Inglewood,111246,112399,111769,108898
Charter Oak,8133,8715,9082,8780
Paramount,54788,55753,53932,53201
San Pedro,77619,80726,80402,82679
Lincoln Heights,30007,29479,30151,28015
Boyle Heights,90158,89861,94428,89930
Historic South-Central,46919,47683,51082,49267
Avalon,3599,3531,3675,3350
Westlake,103027,105724,111823,108245
Mission Hills,19352,18399,18971,18425
Quartz Hill,9902,10112,10149,10224
Marina del Rey,8957,9040,9813,10011
Bell,35081,36082,35570,33552
Long Beach,460513,468623,459883,460520
San Gabriel,40915,41122,41065,40095
Downey,111295,113807,112038,114062
Diamond Bar,45496,46046,48600,47105
La Canada Flintridge,21357,21723,20041,20337
West Covina,108509,110773,107312,109505
Redondo Beach,65838,67471,66475,70436
Vermont Square,47625,49415,52114,52276
Santa Fe Springs,20545,22434,22436,23063
Calabasas,20857,19453,23331,22956
Altadena,43475,42760,41897,41572
Bell Gardens,42473,42885,41809,39316
Sun Valley,71309,72007,68548,68765
Playa Vista,8386,10241,14499,14982
Carson,90543,92336,91783,94657
Hollywood Hills,21592,20724,21209,20327
Lancaster,150460,158068,160865,173332
Leona Valley,2110,2225,1028,933
Whittier,81322,84373,83740,85262
Walnut,29205,29870,29626,28076
Castaic Canyons,45782,47140,49903,50936
Silver Lake,32263,30690,30935,29763
Whittier Narrows,6614,7050,1077,865
Glendale,190938,196779,199067,194234
West Whittier-Los Nietos,23818,24012,24295,23753
Atwater Village,11853,11291,12369,11702
East Whittier,10015,10275,10185,10243
El Sereno,42537,41851,41012,39782
Montecito Heights,17920,17425,19603,17913
Florence,48204,51294,54608,53199
Huntington Park,60241,60748,57785,54577
Cheviot Hills,8527,9030,7841,7579
Cypress Park,9589,9175,8779,8139
Desert View Highlands,2007,2012,2070,2088
Baldwin Park,74770,76546,75454,71300
Montebello,62270,63590,62659,62271
Leimert Park,13520,12146,12379,12474
Santa Clarita,170929,181877,174678,185016
Elysian Park,2407,2284,2584,2480
Wilmington,55779,58365,57054,54946
Jefferson Park,25076,24357,25435,24160
Downtown,38218,47190,59774,65760
Encino,43296,45248,50081,47776
West Adams,21528,21853,20612,20939
Hawaiian Gardens,15343,14741,14143,13934
Agoura Hills,17690,17372,17056,16534
Baldwin Hills/Crenshaw,29200,29103,32735,33442
Lake View Terrace,12871,13703,12784,12555
Adams-Normandie,18569,18209,18993,18113
El Monte,107771,109781,112140,106788
Rancho Dominguez,2401,2731,3314,3294
Acton,2901,2877,3354,3269
Studio City,36002,38961,40909,39914
La Puente,41036,40292,40017,37696
North Hollywood,78435,81306,77675,76442
Rosemead,51905,52673,54075,50897
San Marino,13105,13344,13112,12534
East San Gabriel,20822,21167,21167,21002
South Park,34011,32951,36042,34968
Burbank,102456,104469,103242,106216
Woodland Hills,54731,66639,71161,71977
Angeles Crest,4803,4469,2596,2511
East Compton,11301,12246,12027,12019
Chatsworth,47494,50333,52993,52375
Mayflower Village,10393,9810,10279,9870
Koreatown,109618,107249,106299,102099
South Gate,94663,95395,94419,91834
Elysian Valley,7615,7239,7664,6917
Claremont,38615,39225,37981,39251
Avocado Heights,13669,14094,14259,13747
South San Gabriel,8370,8744,7978,7579
Northwest Antelope Valley,5032,5061,4364,4058
Echo Park,34398,35164,35077,34170
Lynwood,68270,69955,69569,66716
Unincorporated Santa Susana Mountains,21278,23865,22796,23784
Shadow Hills,13055,13129,14213,13596
La Habra Heights,8823,8511,5902,6083
Covina,52813,54413,54568,55823
Northwest Palmdale,3677,4041,3850,3364
Sawtelle,39245,41396,41909,40340
Rancho Park,5263,5464,5549,5406
East Los Angeles,121781,124041,119306,116093
Beverlywood,7097,6958,6961,6837
Bellflower,75857,77667,76358,78328
Azusa,44482,45474,47753,48382
Del Rey,28142,29388,30120,29114
Mid-Wilshire,41147,41936,41658,40548
North Whittier,6720,7307,6683,6505
Beverly Crest,11116,11308,10199,9772
Cerritos,49457,49752,49413,49042
West Hills,37818,39472,39728,39114
Vincent,13978,13969,13674,13341
Sun Village,1497,1746,1965,1746
Playa del Rey,10965,11320,11688,11498
Valinda,18843,19494,18906,18807
Tujunga,27971,27306,27250,27671
Exposition Park,32113,34881,35873,36013
Eagle Rock,35232,34112,35094,34161
Harbor City,26715,26155,26383,26093
Southeast Antelope Valley,7756,8321,7888,7923
Reseda,67199,70050,73175,70095
Willowbrook,35255,36113,37350,35684
Highland Park,54497,53215,50615,48926
Temple City,35434,37695,36621,37207
Westlake Village,7769,7716,7641,7611
Pico-Robertson,15968,18451,16604,15765
Monrovia,38055,39090,39214,39483
Broadway-Manchester,25926,28179,29049,29797
Sunland,14440,14931,16260,16428
Agua Dulce,3862,4418,4573,4307
Malibu,9005,9704,9691,8509
Topanga,6947,7112,7894,7727
Northeast Antelope Valley,20886,22201,20347,20188
Arleta,33414,34501,36295,33999
Van Nuys,106842,110715,114134,112116
Mar Vista,35772,37451,37067,35056
Valley Glen,56532,56707,58370,55343
Arcadia,59862,60743,60328,59228
Windsor Square,6804,6871,6175,6246
West Puente Valley,19629,20537,20363,18889
Central-Alameda,41646,43897,46149,44274
Arlington Heights,20663,23484,21341,20038
Harvard Heights,17717,19246,18889,17989
Harvard Park,9783,9806,10038,10335
East Hollywood,68965,69466,65425,63104
Lennox,19011,19317,18886,17616
Larchmont,8153,8968,8614,8334
Tarzana,36325,37860,37361,36664
Rolling Hills,2951,2996,2465,2494
Mid-City,54247,52173,49672,49038
Westchester,41163,41692,40982,41803
Manchester Square,11721,11578,13016,12537
Rowland Heights,44212,43380,47962,45811
Ridge Route,7062,7049,6472,6493
South San Jose Hills,20135,20517,18991,18650
Vermont-Slauson,27306,26937,30733,31391
Athens,8856,8954,10078,9934
Mount Washington,14589,14558,14255,13937
West Compton,7310,6263,6508,6339
Los Feliz,31885,33386,32875,32194
Chinatown,13898,13331,15808,15135
Century City,5772,5879,5740,5720
Florence-Firestone,59671,61936,65728,64053
University Park,23998,24414,23881,22914
Hollywood Hills West,14085,15947,14624,13620
Unincorporated Santa Monica Mountains,22169,23373,19732,18874
West Los Angeles,11707,12665,14174,13429
Hancock Park,11058,10948,10134,10356
Canoga Park,53189,58733,63520,63181
Chesterfield Square,8301,8410,8497,8806
Hidden Hills,2346,2249,1789,1693
Norwalk,104427,105859,103413,100638
North El Monte,2618,2397,2247,2406
Monterey Park,60241,61678,60769,60420
Hollywood,72229,73964,73781,72969
Fairfax,12565,13617,13847,13397
Glassell Park,24905,23982,24432,22814
Watts,38077,42594,42278,40918
La Verne,30776,31303,31971,31186
Rancho Palos Verdes,40622,42026,41448,41606
Green Meadows,32217,35366,35997,35363
Del Aire,8521,9728,7939,8112
Vermont Knolls,22187,20902,23712,23964
Castaic,10560,11115,11082,11081
Westwood,46423,54281,54938,53076
Venice,33980,33985,34703,32500
South Diamond Bar,4796,4795,4272,3985
Universal City,133,141,0,0
Pacific Palisades,23442,24817,22698,22883
Bel-Air,7430,7330,6669,6479
East Pasadena,5345,5635,5687,5083
Cudahy,24268,24455,23078,22154
Palos Verdes Estates,13086,13268,13031,12898
Ladera Heights,11789,12726,6467,6570
Walnut Park,16517,15882,15713,15987
La Crescenta-Montrose,19392,18249,19914,19837
Gardena,58357,59580,59093,60053
Duarte,21162,21542,21221,21498
La Mirada,48113,49122,48105,47494
Maywood,25782,26014,26951,24846
Alondra Park,8439,8776,7963,8277
Beverly Grove,21156,21813,21139,20370
Vermont Vista,23585,23865,26898,27311
Lawndale,32330,33002,32406,31425
Hyde Park,35507,34601,36834,35932
Lomita,19761,20132,20112,20559
South Pasadena,25236,25854,25396,26496
Westmont,31178,32443,35069,35226
San Pasqual,2028,1977,2019,1916
West Hollywood,34580,35252,35431,35279
Artesia,16416,16719,16393,16175
Manhattan Beach,34750,35480,34967,35024
West Carson,20871,21371,22633,22178
Hermosa Beach,19297,19688,19096,19498
Carthay,5514,5513,4674,4751
Beverly Hills,33929,34612,33671,32370
El Segundo,16515,16910,16556,17062
View Park-Windsor Hills,10746,11625,11598,11975
Sierra Madre,10837,11066,10818,11139
Gramercy Park,10868,10692,10843,10692
