name,2014,2017,2021
Irwindale,85,94,67
Pico-Union,63,65,77
Glendora,36,27,37
Industry,71,69,64
Sylmar,48,62,58
Torrance,16,11,10
Alhambra,96,97,94
Pico Rivera,47,46,33
Rolling Hills Estates,5,5,6
Signal Hill,23,18,5
Hawthorne,33,20,13
North Hills,48,46,55
Hacienda Heights,83,87,83
Harbor Gateway,37,49,64
Lopez/Kagel Canyons,84,82,51
Citrus,49,30,16
Lake Balboa,48,46,55
Granada Hills,48,49,58
Palms,26,51,24
Santa Monica,19,21,21
Pacoima,48,52,54
Toluca Lake,48,73,55
Veterans Administration,23,40,23
Valley Village,48,46,55
Brentwood,29,42,38
Pomona,98,89,80
South Whittier,67,34,44
Pasadena,61,52,53
Winnetka,48,46,55
Palmdale,26,31,12
Porter Ranch,46,46,55
South El Monte,91,92,98
Tujunga Canyons,55,52,50
Commerce,53,31,32
San Fernando,62,35,32
Sherman Oaks,48,46,55
Bradbury,28,23,40
Panorama City,48,46,55
Northridge,48,46,55
Culver City,38,32,13
Lakewood,20,18,30
Compton,28,28,31
Vernon,38,34,39
San Dimas,66,56,51
Inglewood,15,11,28
Charter Oak,41,62,58
Paramount,24,21,9
San Pedro,5,10,17
Lincoln Heights,36,39,81
Boyle Heights,35,39,62
Historic South-Central,63,65,77
Avalon,1,1,15
Westlake,63,65,77
Mission Hills,48,48,55
Quartz Hill,45,58,28
Marina del Rey,41,31,44
Bell,82,35,44
Long Beach,9,8,10
San Gabriel,70,78,53
Downey,66,67,30
Diamond Bar,39,35,38
La Canada Flintridge,72,64,86
West Covina,90,87,68
Redondo Beach,17,14,3
Vermont Square,63,65,77
Santa Fe Springs,86,61,47
Calabasas,23,23,24
Altadena,88,74,51
Bell Gardens,52,31,36
Sun Valley,48,51,56
Playa Vista,23,46,22
Carson,6,6,9
Hollywood Hills,59,64,74
Lancaster,44,41,30
Leona Valley,37,37,41
Whittier,49,43,48
Walnut,56,55,52
Castaic Canyons,63,60,47
Silver Lake,63,64,80
Whittier Narrows,92,89,94
Glendale,98,99,64
West Whittier-Los Nietos,88,90,94
Atwater Village,22,43,45
East Whittier,50,33,49
El Sereno,14,41,59
Montecito Heights,11,18,43
Florence,63,68,77
Huntington Park,51,32,21
Cheviot Hills,23,64,29
Cypress Park,22,21,53
Desert View Highlands,38,60,28
Baldwin Park,82,92,72
Montebello,65,43,23
Leimert Park,63,71,75
Santa Clarita,64,46,44
Elysian Park,63,65,77
Wilmington,5,7,18
Jefferson Park,63,65,77
Downtown,63,66,77
Encino,48,48,55
West Adams,59,65,77
Hawaiian Gardens,18,21,24
Agoura Hills,3,20,19
Baldwin Hills/Crenshaw,60,70,75
Lake View Terrace,50,55,54
Adams-Normandie,63,65,77
El Monte,92,90,91
Rancho Dominguez,13,22,34
Acton,26,28,29
Studio City,47,47,56
La Puente,93,95,77
North Hollywood,48,53,56
Rosemead,75,70,63
San Marino,88,89,75
East San Gabriel,58,82,59
South Park,63,69,77
Burbank,45,87,76
Woodland Hills,47,45,54
Angeles Crest,76,66,61
East Compton,18,16,25
Chatsworth,46,44,53
Mayflower Village,54,66,47
Koreatown,63,65,77
South Gate,37,37,50
Elysian Valley,52,60,88
Claremont,100,78,99
Avocado Heights,88,92,96
South San Gabriel,89,89,80
Northwest Antelope Valley,64,66,56
Echo Park,63,65,77
Lynwood,17,24,38
Unincorporated Santa Susana Mountains,49,71,43
Shadow Hills,47,62,60
La Habra Heights,43,50,24
Covina,57,50,50
Northwest Palmdale,83,98,45
Sawtelle,23,39,26
Rancho Park,23,40,23
East Los Angeles,90,68,54
Beverlywood,25,42,28
Bellflower,54,50,25
Azusa,44,32,19
Del Rey,25,48,26
Mid-Wilshire,63,67,78
North Whittier,67,71,79
Beverly Crest,46,89,74
Cerritos,26,18,16
West Hills,46,44,53
Vincent,57,55,19
Sun Village,33,21,29
Playa del Rey,26,39,23
Valinda,93,94,73
Tujunga,48,56,54
Exposition Park,63,65,77
Eagle Rock,11,22,46
Harbor City,7,17,24
Southeast Antelope Valley,62,33,35
Reseda,48,46,55
Willowbrook,30,36,27
Highland Park,11,14,38
Temple City,68,92,50
Westlake Village,4,20,11
Pico-Robertson,41,62,59
Monrovia,34,75,38
Broadway-Manchester,63,68,81
Sunland,47,51,55
Agua Dulce,34,43,47
Malibu,39,10,3
Topanga,38,25,33
Northeast Antelope Valley,36,31,28
Arleta,48,46,55
Van Nuys,48,46,55
Mar Vista,24,43,26
Valley Glen,48,46,55
Arcadia,53,98,54
Windsor Square,63,65,77
West Puente Valley,93,94,86
Central-Alameda,63,64,77
Arlington Heights,63,65,77
Harvard Heights,63,65,77
Harvard Park,63,65,77
East Hollywood,63,65,77
Lennox,24,16,15
Larchmont,63,65,77
Tarzana,48,46,55
Rolling Hills,3,3,8
Mid-City,61,66,76
Westchester,23,43,31
Manchester Square,63,63,80
Rowland Heights,17,20,31
Ridge Route,72,73,68
South San Jose Hills,70,80,64
Vermont-Slauson,63,65,77
Athens,19,18,15
Mount Washington,11,10,33
West Compton,36,24,17
Los Feliz,63,65,80
Chinatown,63,65,77
Century City,23,61,23
Florence-Firestone,94,62,40
University Park,63,65,77
Hollywood Hills West,47,61,65
Unincorporated Santa Monica Mountains,20,14,11
West Los Angeles,23,40,23
Hancock Park,63,65,77
Canoga Park,48,46,55
Chesterfield Square,63,65,77
Hidden Hills,30,26,7
Norwalk,38,30,40
North El Monte,93,98,40
Monterey Park,93,97,72
Hollywood,63,65,77
Fairfax,63,65,77
Glassell Park,13,23,36
Watts,65,73,76
La Verne,95,80,100
Rancho Palos Verdes,10,13,2
Green Meadows,63,78,92
Del Aire,63,23,10
Vermont Knolls,63,65,80
Castaic,62,49,43
Westwood,23,42,23
Venice,26,39,29
South Diamond Bar,20,20,23
Universal City,47,62,70
Pacific Palisades,25,40,26
Bel-Air,43,64,61
East Pasadena,87,95,99
Cudahy,46,25,44
Palos Verdes Estates,10,6,2
Ladera Heights,88,74,34
Walnut Park,32,14,8
La Crescenta-Montrose,43,59,75
Gardena,25,18,17
Duarte,23,22,3
La Mirada,28,20,30
Maywood,15,24,35
Alondra Park,28,16,15
Beverly Grove,63,76,85
Vermont Vista,63,65,81
Lawndale,24,17,15
Hyde Park,57,74,79
Lomita,17,12,20
South Pasadena,84,67,80
Westmont,33,25,21
San Pasqual,82,45,75
West Hollywood,71,72,73
Artesia,21,24,24
Manhattan Beach,1,2,1
West Carson,6,6,9
Hermosa Beach,14,12,3
Carthay,63,75,84
Beverly Hills,40,52,32
El Segundo,8,19,1
View Park-Windsor Hills,85,37,47
Sierra Madre,40,94,39
Gramercy Park,52,74,87
Aggregated,48,48,48
